orgao_id;codigo_setor;nome_setor;ativo;logradouro;numero;complemento;bairro;cidade;estado;cep;telefone;email;data_criacao;data_atualizacao;latitude;longitude
04e86ec7-8fdd-4e80-ade9-1d4eb45447a3;013.AGEATABR;Agência de Atendimento de Abreulândia;1;R. Mariano Pereira;sem número;;Centro;Abreulândia;TO;77693-000;(63) 1234-1234;atualizar_email@sefaz.to.gov.br;14/10/2025 09:26;14/11/2025 08:10;-96221526;-491558343
04e86ec7-8fdd-4e80-ade9-1d4eb45447a3;013.AGEATAGU;Agência de Atendimento de Aguiarnópolis;1;atualizar endereço;0;;CENTRO;AGUIARNOPOLIS;TO;77908-000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;14/10/2025 09:26;14/11/2025 08:10;-656256251;-474710243
04e86ec7-8fdd-4e80-ade9-1d4eb45447a3;013.AGEATALT;Agência de Atendimento de Aliança do Tocantins;1;atualizar endereço;0;;CENTRO;ALIANCA DO TOCANTINS;TO;77455000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;14/10/2025 09:26;14/11/2025 08:10;-1130677761;-4893887309
04e86ec7-8fdd-4e80-ade9-1d4eb45447a3;013.AGEATALM;Agência de Atendimento de Almas;1;atualizar endereço;0;;CENTRO;ALMAS;TO;77310000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;14/10/2025 09:26;14/11/2025 08:10;-1156794243;-4717041349
04e86ec7-8fdd-4e80-ade9-1d4eb45447a3;013.AGEATALV;Agência de Atendimento de Alvorada;1;atualizar endereço;0;;CENTRO;ALVORADA;TO;77480000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;14/10/2025 09:26;14/11/2025 08:18;-1249298486;-4913165217
04e86ec7-8fdd-4e80-ade9-1d4eb45447a3;013.AGEATANN;Agência de Atendimento de Ananás;1;atualizar endereço;0;;CENTRO;ANANAS;TO;77890000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;14/10/2025 09:26;14/11/2025 08:15;-636779215;-4807313905
04e86ec7-8fdd-4e80-ade9-1d4eb45447a3;013.AGEATANG;Agência de Atendimento de Angico;1;atualizar endereço;0;;CENTRO;ANGICO;TO;77905000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;14/10/2025 09:26;14/11/2025 08:15;-639083582;-4786685008
04e86ec7-8fdd-4e80-ade9-1d4eb45447a3;013.AGEATARN;Agência de Atendimento de Aparecida do Rio Negro;1;atualizar endereço;0;;CENTRO;APARECIDA DO RIO NEGRO;TO;77620000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;14/10/2025 09:26;14/11/2025 08:15;-99516537;-4797803725
04e86ec7-8fdd-4e80-ade9-1d4eb45447a3;013.AGEATARG;Agência de Atendimento de Aragominas;1;atualizar endereço;0;;CENTRO;ARAGOMINAS;TO;77845000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;14/10/2025 09:26;14/11/2025 08:15;-716556223;-4852594278
04e86ec7-8fdd-4e80-ade9-1d4eb45447a3;013.AGEATARC;Agência de Atendimento de Araguacema;1;atualizar endereço;0;;CENTRO;ARAGUACEMA;TO;77690000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;14/10/2025 09:26;14/11/2025 08:15;-881696515;-4955996086
04e86ec7-8fdd-4e80-ade9-1d4eb45447a3;013.AGEATARU;Agência de Atendimento de Araguaçu;1;atualizar endereço;0;;CENTRO;ARAGUACU;TO;77475000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;14/10/2025 09:26;14/11/2025 08:15;-1292665084;-4982941942
04e86ec7-8fdd-4e80-ade9-1d4eb45447a3;013.AGEATARA;Agência de Atendimento de Araguaína;1;atualizar endereço;0;;CENTRO;ARAGUAINA;TO;77804180;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;14/10/2025 09:26;14/11/2025 08:15;-718790788;-4821020785
04e86ec7-8fdd-4e80-ade9-1d4eb45447a3;013.AGEATAGN;Agência de Atendimento de Araguanã;1;atualizar endereço;0;;CENTRO;ARAGUANÃ;TO;77855000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;14/10/2025 09:26;14/11/2025 08:15;-658020265;-486424929
04e86ec7-8fdd-4e80-ade9-1d4eb45447a3;013.AGEATAGI;Agência de Atendimento de Araguatins;1;atualizar endereço;0;;CENTRO;ARAGUATINS;TO;77950000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;14/10/2025 09:26;14/11/2025 08:15;-564611309;-4811789532
04e86ec7-8fdd-4e80-ade9-1d4eb45447a3;013.AGEATARP;Agência de Atendimento de Arapoema;1;atualizar endereço;0;;CENTRO;ARAPOEMA;TO;77780000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;14/10/2025 09:26;14/11/2025 08:15;-765730758;-4906621335
04e86ec7-8fdd-4e80-ade9-1d4eb45447a3;013.AGEATARR;Agência de Atendimento de Arraias;1;atualizar endereço;0;;CENTRO;ARRAIAS;TO;77330000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;14/10/2025 09:26;14/11/2025 08:15;-1292648446;-4694742596
04e86ec7-8fdd-4e80-ade9-1d4eb45447a3;013.AGEATAUG;Agência de Atendimento de Augustinópolis;1;atualizar endereço;0;;CENTRO;SAMPAIO;TO;77980000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;14/10/2025 09:26;14/11/2025 08:15;-535306399;-4787794871
04e86ec7-8fdd-4e80-ade9-1d4eb45447a3;013.AGEATAUT;Agência de Atendimento de Aurora do Tocantins;1;atualizar endereço;0;;CENTRO;AURORA DO TOCANTINS;TO;77325000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;14/10/2025 09:26;14/11/2025 08:15;-1271259782;-4640821519
04e86ec7-8fdd-4e80-ade9-1d4eb45447a3;013.AGEATAXT;Agência de Atendimento de Axixá do Tocantins;1;atualizar endereço;0;;CENTRO;AXIXA DO TOCANTINS;TO;77930000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;14/10/2025 09:26;14/11/2025 08:15;-561353831;-4776648583
04e86ec7-8fdd-4e80-ade9-1d4eb45447a3;013.AGEATBBL;Agência de Atendimento de Babaçulândia;1;atualizar endereço;0;;CENTRO;BABACULANDIA;TO;77870000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;14/10/2025 09:26;14/11/2025 08:15;-720257193;-4775975064
04e86ec7-8fdd-4e80-ade9-1d4eb45447a3;013.AGEATBAT;Agência de Atendimento de Bandeirantes do Tocantins;1;atualizar endereço;0;;CENTRO;BANDEIRANTES DO TOCANTINS;TO;77783000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;14/10/2025 09:26;14/11/2025 08:15;-77604789;-4857865857
04e86ec7-8fdd-4e80-ade9-1d4eb45447a3;013.AGEATBAR;Agência de Atendimento de Barrolândia;1;atualizar endereço;0;;CENTRO;BARROLANDIA;TO;77665000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;14/10/2025 09:26;14/11/2025 08:15;-9836278;-4872490463
04e86ec7-8fdd-4e80-ade9-1d4eb45447a3;013.AGEATBES;Agência de Atendimento de Bernardo Sayão;1;atualizar endereço;0;;CENTRO;BERNARDO SAYAO;TO;77755000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;14/10/2025 09:26;14/11/2025 08:15;-788043425;-4889638194
04e86ec7-8fdd-4e80-ade9-1d4eb45447a3;013.AGEATBJT;Agência de Atendimento de Bom Jesus do Tocantins;1;atualizar endereço;0;;CENTRO;BOM JESUS DO TOCANTINS;TO;77714000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;14/10/2025 09:26;14/11/2025 08:15;-896216893;-4816224659
04e86ec7-8fdd-4e80-ade9-1d4eb45447a3;013.AGEATBRT;Agência de Atendimento de Brasilândia do Tocantins;1;atualizar endereço;0;;CENTRO;BRASILANDIA DO TOCANTINS;TO;77735000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;14/10/2025 09:26;14/11/2025 08:15;-838832003;-4848438475
04e86ec7-8fdd-4e80-ade9-1d4eb45447a3;013.AGEATBRN;Agência de Atendimento de Brejinho de Nazaré;1;atualizar endereço;0;;CENTRO;BREJINHO DE NAZARE;TO;77560000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;14/10/2025 09:26;14/11/2025 08:15;-1101393859;-4856392375
04e86ec7-8fdd-4e80-ade9-1d4eb45447a3;013.AGEATBUT;Agência de Atendimento de Buriti do Tocantins;1;atualizar endereço;0;;CENTRO;BURITI DO TOCANTINS;TO;77995000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;14/10/2025 09:26;14/11/2025 08:15;-531616092;-4822666339
04e86ec7-8fdd-4e80-ade9-1d4eb45447a3;013.AGEATCAL;Agência de Atendimento de Campos Lindos;1;atualizar endereço;0;;CENTRO;CAMPOS LINDOS;TO;77777000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;14/10/2025 09:26;14/11/2025 08:15;-797383037;-4680170642
04e86ec7-8fdd-4e80-ade9-1d4eb45447a3;013.AGEATCRR;Agência de Atendimento de Cariri do Tocantins;1;atualizar endereço;0;;CENTRO;CARIRI DO TOCANTINS;TO;77453000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;14/10/2025 09:26;14/11/2025 08:15;-1189183885;-4915982345
04e86ec7-8fdd-4e80-ade9-1d4eb45447a3;013.AGEATCAR;Agência de Atendimento de Carmolândia;1;atualizar endereço;0;;CENTRO;CARMOLANDIA;TO;77840000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;14/10/2025 09:26;14/11/2025 08:15;-703554318;-4839600976
04e86ec7-8fdd-4e80-ade9-1d4eb45447a3;013.AGEATCAS;Agência de Atendimento de Caseara;1;atualizar endereço;0;;CENTRO;CASEARA;TO;77680000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;14/10/2025 09:26;14/11/2025 08:15;-927089821;-4995509705
04e86ec7-8fdd-4e80-ade9-1d4eb45447a3;013.AGEATCOL;Agência de Atendimento de Colinas do Tocantins;1;atualizar endereço;0;;CENTRO;COLINAS DO TOCANTINS;TO;77760000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;14/10/2025 09:26;14/11/2025 08:15;-805561687;-4847679668
04e86ec7-8fdd-4e80-ade9-1d4eb45447a3;013.AGEATCML;Agência de Atendimento de Colméia;1;atualizar endereço;0;;CENTRO;COLMEIA;TO;77725000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;14/10/2025 09:26;14/11/2025 08:15;-87298533;-4875524082
04e86ec7-8fdd-4e80-ade9-1d4eb45447a3;013.AGEATCBN;Agência de Atendimento de Combinado;1;atualizar endereço;0;;CENTRO;COMBINADO;TO;77350000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;14/10/2025 09:26;14/11/2025 08:15;-1281211057;-465483844
04e86ec7-8fdd-4e80-ade9-1d4eb45447a3;013.AGEATCOT;Agência de Atendimento de Conceição do Tocantins;1;atualizar endereço;0;;CENTRO;CONCEICAO DO TOCANTINS;TO;77305000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;14/10/2025 09:26;14/11/2025 08:15;-1222112271;-4729368428
04e86ec7-8fdd-4e80-ade9-1d4eb45447a3;013.AGEATCOM;Agência de Atendimento de Couto Magalhães;1;atualizar endereço;0;;CENTRO;COUTO MAGALHAES;TO;77750000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;14/10/2025 09:26;14/11/2025 08:15;-835932739;-4917851748
04e86ec7-8fdd-4e80-ade9-1d4eb45447a3;013.AGEATCRI;Agência de Atendimento de Cristalãndia;1;atualizar endereço;0;;CENTRO;CRISTALÂNDIA;TO;77490000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;14/10/2025 09:26;14/11/2025 08:15;-1059956173;-4919369924
