orgao_id;Id_Antigo;Id_Novo;codigo_setor;nome_setor;ativo;logradouro;numero;complemento;bairro;cidade;estado;cep;telefone;email;data_criacao;data_atualizacao;latitude;longitude
04e86ec7-8fdd-4e80-ade9-1d4eb45447a3;1;93c06627-28f3-425c-b95d-daa2ae0fa8f6;013.AGEATABR;Agência de Atendimento de Abreulândia;1;R. Mariano Pereira;sem número;;Centro;Abreulândia;TO;77693-000;(63) 1234-1234;atualizar_email@sefaz.to.gov.br;14/10/2025 09:26;14/11/2025 08:10;-96221526;-491558343
04e86ec7-8fdd-4e80-ade9-1d4eb45447a3;2;36e82069-f677-4234-a219-27689b84c8f9;013.AGEATAGU;Agência de Atendimento de Aguiarnópolis;1;atualizar endereço;0;;CENTRO;AGUIARNOPOLIS;TO;77908-000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;14/10/2025 09:26;14/11/2025 08:10;-656256251;-474710243
04e86ec7-8fdd-4e80-ade9-1d4eb45447a3;3;feca8de9-36f1-4497-b8d8-d7662ae5a814;013.AGEATALT;Agência de Atendimento de Aliança do Tocantins;1;atualizar endereço;0;;CENTRO;ALIANCA DO TOCANTINS;TO;77455000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;14/10/2025 09:26;14/11/2025 08:10;-1130677761;-4893887309
04e86ec7-8fdd-4e80-ade9-1d4eb45447a3;4;00df982f-1238-4017-84c8-f67ac401bf23;013.AGEATALM;Agência de Atendimento de Almas;1;atualizar endereço;0;;CENTRO;ALMAS;TO;77310000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;14/10/2025 09:26;14/11/2025 08:10;-1156794243;-4717041349
04e86ec7-8fdd-4e80-ade9-1d4eb45447a3;5;211a6a68-0f1d-4616-b9a0-bdfa50d5253c;013.AGEATALV;Agência de Atendimento de Alvorada;1;atualizar endereço;0;;CENTRO;ALVORADA;TO;77480000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;14/10/2025 09:26;14/11/2025 08:18;-1249298486;-4913165217
04e86ec7-8fdd-4e80-ade9-1d4eb45447a3;6;e9181cc1-ad2a-4fb2-addb-8ca4b23249c0;013.AGEATANN;Agência de Atendimento de Ananás;1;atualizar endereço;0;;CENTRO;ANANAS;TO;77890000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;14/10/2025 09:26;14/11/2025 08:15;-636779215;-4807313905
04e86ec7-8fdd-4e80-ade9-1d4eb45447a3;7;7f225e55-328d-4b7b-b090-2d236ead02b9;013.AGEATANG;Agência de Atendimento de Angico;1;atualizar endereço;0;;CENTRO;ANGICO;TO;77905000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;14/10/2025 09:26;14/11/2025 08:15;-639083582;-4786685008
04e86ec7-8fdd-4e80-ade9-1d4eb45447a3;8;44a6baf5-4517-456c-ab23-e74828c26037;013.AGEATARN;Agência de Atendimento de Aparecida do Rio Negro;1;atualizar endereço;0;;CENTRO;APARECIDA DO RIO NEGRO;TO;77620000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;14/10/2025 09:26;14/11/2025 08:15;-99516537;-4797803725
04e86ec7-8fdd-4e80-ade9-1d4eb45447a3;9;6d4c8dc3-d059-41d2-a692-e58b7f605e8d;013.AGEATARG;Agência de Atendimento de Aragominas;1;atualizar endereço;0;;CENTRO;ARAGOMINAS;TO;77845000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;14/10/2025 09:26;14/11/2025 08:15;-716556223;-4852594278
04e86ec7-8fdd-4e80-ade9-1d4eb45447a3;10;7b6022dd-2c22-4126-bd69-04546a9ebbd1;013.AGEATARC;Agência de Atendimento de Araguacema;1;atualizar endereço;0;;CENTRO;ARAGUACEMA;TO;77690000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br;14/10/2025 09:26;14/11/2025 08:15;-881696515;-4955996086
